GLUE task / Run	1	2	3	4	5	Average	Median
cola	0.146654	0.125226	0.110487	0.118035	0.139826	0.1280456	0.125226
mnli	0.613449	0.602343	0.583597	0.61867	0.60023	0.6036578	0.602343
mrpc	0.812227	0.800623	0.790164	0.812227	0.812227	0.8054936	0.812227
qnli	0.604796	0.603515	0.592898	0.60022	0.606077	0.6015012	0.603515
qqp	0.724791	0.739026	0.746135	0.731103	0.700202	0.7282514	0.731103
rte	0.527076	0.523466	0.516245	0.555957	0.527076	0.529964	0.527076
sst2	0.79138	0.807339	0.798165	0.788991	0.774083	0.7919916	0.79138
sts-b	0.184918	0.175509	0.168022	0.189324	0.187345	0.1810236	0.184918
wnli	0.56338	0.56338	0.56338	0.56338	0.56338	0.56338	0.56338
Score							0.5490186667
							
	TinyDistillbert	TinyDistillbert(D)					
SQuaD (EM)	10.35950804	10.98391675					
SQuaD (F1)	18.57648627	19.62237524					
							
IMDb	0.86192						
							
	Inf. Speed (Seconds)	# Params (Million)					
TINYDistillBERT	215.79	66					
DistillBERT	209.1	66					
BERT-base	423.65	110					